model,sampling type,accuracy,precision,recall,fscore,AUC
logistic regression,normal,0.9540937056318031,0.9503968253968254,0.8693284936479129,0.9080568720379147,0.9266616860044943
logistic regression,SMOTE,0.9469947941315665,0.8739352640545145,0.9310344827586207,0.9015817223198594,0.9418296613537019
logistic regression,Over,0.9427354472314246,0.8501628664495114,0.9473684210526315,0.896137339055794,0.9442347867106947
logistic regression,Under,0.942262186464742,0.8522167487684729,0.941923774954628,0.8948275862068965,0.9421526685272501
Random forest,normal,0.9536204448651207,0.9398058252427185,0.8784029038112523,0.9080675422138836,0.929278276489493
Random forest,SMOTE,0.9531471840984382,0.9296577946768061,0.8874773139745916,0.9080779944289693,0.9318948669744918
Random forest,Over,0.9517274017983909,0.9227871939736346,0.8892921960072595,0.9057301293900185,0.9315218982597117
Random forest,Under,0.9446284902981543,0.8653198653198653,0.9328493647912885,0.8978165938864628,0.9408164877733651
ada boost,normal,0.9394226218646474,0.886654478976234,0.8802177858439202,0.8834244080145719,0.9202625420896938
ada boost,SMOTE,0.9252247988641742,0.8280467445742905,0.9001814882032668,0.8626086956521739,0.917120193525449
ada boost,Over,0.9219119734973971,0.805379746835443,0.9237749546279492,0.8605240912933221,0.9225148780822204
ada boost,Under,0.934690014197823,0.8482293423271501,0.9128856624319419,0.8793706293706294,0.927633612265907
